Unnamed: 0,Timestamp,Paper ID (from shared sheet),Paper Title,Paper Year,Paper Available,Paper in English,Does the paper have at least 1 current OpenML Core Member as co-author?,"If yes, which Core Members?",Does the paper use datasets from OpenML?,"If unclear, one sentence explanation?","Does the paper use a collection (at least 2 or more) of datasets that are defined by OpenML designated to do benchmarking (e.g., openml benchmarking suites)?","If yes, which benchmark suites?","Does the paper use OpenML experiment data (i.e., utilise results from runs)? ","if yes: short (e.g., 1 sentence) explanation: how does it use this data?",Does the paper upload datasets to OpenML?,"If yes, which dataset?",Does the paper upload experiment data to OpenML?,"if yes: short (e.g., 1 sentence) explanation: what type of experiments?",Does the paper interact in any other way with OpenML?,"if yes: short (e.g., 1 sentence) explanation how?",Star it as some cool project to be showcased in our paper?,"If yes, please motivate your answer",Optional short description,"Is the paper a thesis (Bachelor's, Master's, or PhD)?"
460,2025-02-08 16:19:38,125,Ecologically rational meta-learned inference explains human category learning,2024.0,Yes,Yes,No,,Yes,,Yes,CC18,No,,No,,No,,No,,No,,,No
461,2025-02-08 16:21:12,1345,SDCOR: Scalable density-based clustering for local outlier detection in massive-scale datasets,2021.0,Yes,Yes,No,,Yes,,Unclear,,No,,No,,No,,No,,No,,,No
462,2025-02-08 16:22:20,757,Automated Privacy-Preserving Techniques via Meta-Learning,2024.0,Yes,Yes,Yes,,Yes,,No,,No,,No,,No,,No,,No,,,No
463,2025-02-08 16:24:43,798,Hyperparameter importance across datasets,2018.0,Yes,Yes,Yes,Jan van Rijn,Yes,,No,,Yes,,No,,Yes,Hyperparameter improtance,No,,Yes,,,No
464,2025-02-08 16:26:21,1684,Interpretable meta-score for model performance,2022.0,Yes,Yes,No,,Yes,,Yes,CC18,No,,No,,No,,No,,No,,,No
465,2025-02-08 16:27:16,395,Adaptivní Algoritmy Řízení Inteligentních Agentů,2019.0,Yes,No,,,,,,,,,,,,,,,,,,
466,2025-02-08 16:28:11,32,Adaptation strategies for automated machine learning on evolving data,2020.0,Yes,Yes,Yes,Joaquin Vanschoren,Yes,,No,,No,,No,,No,,No,,No,,,No
467,2025-02-08 16:39:15,1634,Towards more sustainable and trustworthy reporting in machine learning,2024.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
468,2025-02-08 16:51:26,319,Foundations of Symbolic Languages for Model Interpretability,2021.0,Yes,Yes,Yes,,Unclear,,No,,No,,No,,No,,No,,No,,,No
469,2025-02-08 16:52:42,263,Materials Informatics-Augmenting Materials Research with Data-driven Design and Machine Learning,2021.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
470,2025-02-08 16:54:06,639,Genetic Programming for Feature Selection Based on Feature Removal Impact in High-Dimensional Symbolic Regression,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
471,2025-02-08 16:55:04,1215,Polynomial whitening for high-dimensional data,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
472,2025-02-08 16:56:46,272,HomOpt: A Flexible Homotopy-Based Hyperparameter Optimization Method,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,Yes,Uses tasks,No,,,No
473,2025-02-08 16:58:32,930,EcoML: A tool to track and predict the carbon footprint of machine learning tasks,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
474,2025-02-08 16:59:31,454,Cost-sensitive hierarchical clustering for dynamic classifier selection,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
475,2025-02-08 17:01:34,1545,Ubiquitous Distributed Intelligence at the Edge,2023.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
476,2025-02-08 17:20:53,224,A novel outlook on feature selection as a multi-objective problem,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
477,2025-02-08 17:22:22,124,Pipeline combinators for gradual automl,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
478,2025-02-08 17:23:54,891,Dqlearn: A toolkit for structured data quality learning,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
479,2025-02-08 17:24:39,310,Alternative Infill-Kriterien für Random Forests in Sequential Model-Based Optimization,2017.0,Yes,No,,,,,,,,,,,,,,,,,,
480,2025-02-08 17:25:40,1648,Deep learning based web service recommendation methods: A survey,2023.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
481,2025-02-08 17:27:01,875,Physics-Inspired Renormalization Approaches for Data Reduction in Machine Learning and Motion Planning,2021.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
482,2025-02-08 17:31:29,789,Efficient AutoML Pipeline Search with Matrix and Tensor Factorization,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
483,2025-02-08 17:32:54,1389,"Regression from linear models to neural networks: double descent, active learning, and sampling",2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
484,2025-02-08 17:34:06,1530,Flexible model aggregation for quantile regression,2023.0,Yes,Yes,No,,Yes,,Yes,AMLB,No,,No,,No,,No,,No,,,No
485,2025-02-08 17:36:14,288,Machine Learning Service Recommendation Based on Accuracy Related QoS Attributes,2021.0,Yes,Yes,No,,Yes,,No,,Yes,,No,,No,,Yes,,No,,,Yes
486,2025-02-08 17:37:28,679,Scarf: Self-supervised contrastive learning using random feature corruption,2022.0,Yes,Yes,Yes,,Yes,,Yes,CC18,No,,No,,No,,No,,No,,,No
487,2025-02-08 17:39:43,409,Interaction forests: Identifying and exploiting interpretable quantitative and qualitative interaction effects,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
488,2025-02-08 17:41:02,50,Feature selection with scalable variational gaussian process via sensitivity analysis based on L2 divergence,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
489,2025-02-08 17:41:59,901,MementoML: Performance of selected machine learning algorithm configurations on OpenML100 datasets,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
490,2025-02-08 17:42:53,551,Optimizing Data Pre-Processing Transformations with Reinforcement Learning,2022.0,Yes,Yes,No,,Yes,,Yes,CC18,No,,No,,No,,No,,No,,,Yes
491,2025-02-08 17:43:13,329,Beyond TreeSHAP: Efficient Computation of Any-Order Shapley Interactions for Tree Ensembles,2024.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,does not cite OpenML,No
492,2025-02-08 17:43:52,1443,A two-step anomaly detection based method for PU classification in imbalanced data sets,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
493,2025-02-08 17:44:59,1680,Coalitional strategies for efficient individual prediction explanation,2022.0,Yes,Yes,Yes,,Yes,,No,,No,,No,,No,,No,,No,,,No
494,2025-02-08 17:47:04,123,D7.7 AutoAI Benchmarks v.3 Report,2024.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,tailor raport,No
495,2025-02-08 17:47:28,267,out of distribution learning,2024.0,Yes,Yes,No,,Yes,,Yes,cc18,No,,No,,No,,No,,No,,,Yes
496,2025-02-08 17:48:49,396,A Meta-Level Learning Algorithm for Sequential Hyper-Parameter Space Reduction in AutoML,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
497,2025-02-08 17:50:07,1046,Sketchysgd: reliable stochastic optimization via randomized curvature estimates,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
498,2025-02-08 17:50:22,240,A Meta-Level Learning Algorithm for Sequential Hyper-Parameter Space Reduction in AutoML,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
499,2025-02-08 17:53:43,1089,Collecting empirical data about hyperparameters for data driven AutoML,2022.0,Yes,Yes,No,,Yes,,Yes,"OpenML100, CC18",Yes,,Yes,42578425804258198330721754079559680,Yes,,No,,No,,,Yes
500,2025-02-08 17:54:56,85,"AssistML: an approach to manage, recommend and reuse ML solutions",2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
501,2025-02-08 17:56:01,846,Leaves in Generative Forests,2020.0,Yes,Yes,No,,Yes,,Yes,CC18,No,,No,,No,,No,,No,,,Yes
502,2025-02-08 17:56:43,695,Regression-Stratified Sampling for Optimized Algorithm Selection in Time-Constrained Tabular AutoML,2024.0,Yes,Yes,No,,Yes,,Yes,"ID: 297, 300 (titles ambiguous) ",No,,No,,No,,No,,No,,,No
503,2025-02-08 17:57:42,1614,Keeping the data lake in form: proximity mining for pre-filtering schema matching,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
504,2025-02-08 18:00:40,1487,Towards Modular Neural Networks with Pre-trained Models,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
505,2025-02-08 18:02:00,1137,Projected Naïve Bayes,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
506,2025-02-08 18:04:08,1527,Supplementary Materials for Niseko: a Large-Scale Meta-Learning Dataset,2019.0,Yes,Yes,No,,Unclear,supplementary material (should be removed),No,,No,,No,,No,,No,,No,,"Supplementary material, do not use!",No
507,2025-02-08 18:07:47,1223,Explaining hyperparameter optimization via partial dependence plots,2021.0,Yes,Yes,Yes,"Casalicchio, Bischl",Yes,,Unclear,"works with LCBench, unclear whether that is an official suite",No,,No,,No,,No,,No,,,No
508,2025-02-08 18:09:57,587,Enhancing estimation of expected returns in modern portfolio theory through machine learning,2023.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
509,2025-02-08 18:11:45,385,Trajectory-Based Multi-Objective Hyperparameter Optimization for Model Retraining,2024.0,Yes,Yes,No,,Yes,,Unclear,LCBench,No,,No,,No,,No,,No,,,No
510,2025-02-08 18:13:51,242,Data Science with LLMs and Interpretable Models,2024.0,Yes,Yes,No,,Yes,one dataset from openml (diabetes),No,,No,,No,,No,,No,,No,,,No
511,2025-02-09 14:14:11,283,Evaluation in artificial intelligence: from task-oriented to ability-oriented measurement,2016.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
512,2025-02-09 14:18:00,10,Least Squares Approach for Multivariate Split Selection in Regression Trees,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
513,2025-02-09 14:18:47,1473,P-Sphere Hull: An Explicit Domain Model for Trusted AI,2022.0,springer paywall (also from faculty),,,,,,,,,,,,,,,,,,,
514,2025-02-09 14:20:47,1604,When DevOps meets meta-learning: A portfolio to rule them all,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
515,2025-02-09 14:26:36,1501,Parallelized extreme learning machine for online data classification,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
516,2025-02-09 14:29:54,620,"Hyper-resolution hydrodynamic simulation of cities: the case of Austin, Texas",2017.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,"seems like a miss-citation. at least the authors seem to think that OpenML stands for ""Open Modelling Interface"", although they are (partially) correct that OpenML is used to exchange data. ",Yes
517,2025-02-09 14:30:56,357,DASH: Decentralized CASH for Federated Learning,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
518,2025-02-09 14:32:29,1254,Deep facial recognition using tensorflow,2019.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
519,2025-02-09 14:33:35,1307,Efficient extreme learning machine via very sparse random projection,2018.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
520,2025-02-09 14:34:50,227,Improving Generalization of Genetic Programming for High-Dimensional Symbolic Regression with Shapley Value Based Feature Selection,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
521,2025-02-09 14:36:37,900,High-Dimensional Private Empirical Risk Minimization by Greedy Coordinate Descent,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
522,2025-02-09 14:38:29,761,Setting parameters for support vector machines using transfer learning,2015.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,paper speculates about how interesting it would be to connect to a platform like OpenML (but does not do it),No
523,2025-02-09 14:45:47,28,Stochastic Gradient Trees,2019.0,Yes,Yes,No,,Yes,"While the answer is probably yes, note that this is only revealed in an early version of the paper (Arxiv v1)",No,,No,,No,,No,,No,,No,,,No
524,2025-02-09 14:48:36,329,Beyond TreeSHAP: Efficient Computation of Any-Order Shapley Interactions for Tree Ensembles,2024.0,Yes,Yes,No,,Yes,openml is only cited in the arxiv version (supplement),No,,No,,No,,No,,No,,No,,,No
525,2025-02-09 14:51:26,592,Method and arrangement for detecting anomalies in network data traffic,2019.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,patent,No
526,2025-02-09 14:52:41,1672,FAIR AI models in high energy physics,2023.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
527,2025-02-09 14:53:50,888,A novel binary classification approach based on geometric semantic genetic programming,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
528,2025-02-09 14:55:02,1564,Benchmarking dataflow systems for scalable machine learning,2018.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
529,2025-02-09 14:56:30,471,Integrating Hyperparameter Search into Model-Free AutoML with Context-Free Grammars,2023.0,Yes,Yes,No,,Yes,,Yes,OpenML-CC18,No,,No,,No,,No,,No,,,No
530,2025-02-09 14:57:30,1650,論文審査の結果の要旨,2021.0,Yes,No,,,,,,,,,,,,,,,,,,
531,2025-02-09 14:58:43,1032,The Importance of the Test Set Size in Quantification Assessment,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
532,2025-02-09 15:03:20,811,Asset management in machine learning: A survey,2021.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,"mentions explicitly that ""advanced databases are beyond the scope of the study""",No
533,2025-02-09 15:04:31,292,Combining Multi-ratio Undersampling and Metric Learning for Imbalanced Classification,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
534,2025-02-09 15:05:51,1461,An Ensemble Model for 2D-data Classification based on Classical & Deep Learning Classifier,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
535,2025-02-09 15:08:20,1441,HPOBench: A collection of reproducible multi-fidelity benchmark problems for HPO,2022.0,Yes,Yes,Yes,"Feurer, Mallik",Yes,,Yes,AutoML benchmark,No,,No,,No,,No,,No,,"paper integrates well with OpenML processes (explains task ids, etc)",No
536,2025-02-09 15:10:19,1505,Lowering the barrier for successful replication and evaluation,2018.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
537,2025-02-09 15:13:51,1160,Automated machine learning using metaheuristic algorithms,2021.0,Yes,Yes,No,,Yes,,Yes,"OpenML-CC18, AutoML Benchmark More Classification",No,,No,,No,,No,,No,,,Yes
538,2025-02-09 15:14:57,434,Predictive spreadsheet autocompletion with constraints,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
539,2025-02-09 15:17:20,209,DIOPT: Extremely Fast Classification Using Lookups and Optimal Feature Discretization,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
540,2025-02-09 15:20:02,1572,GAMformer: Exploring In-Context Learning for Generalized Additive Models,2024.0,Yes,Yes,Yes,Muller,Yes,,Unclear,"while not a benchmark suite, it seems to be a subset of the small datasets of the CC-18, see Table 1",No,,No,,No,,No,,No,,,No
541,2025-02-09 15:24:08,1554,Intelligent assistance for data pre-processing,2018.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,Yes,it ustilises meta-features,Yes,meta-learning (algorithm selection) system that is well-integrated with OpenML through datasets and meta-features.,,No
542,2025-02-09 15:26:13,295,Effective data pre-processing for AutoML,2021.0,Yes,Yes,No,,Yes,,Yes,OpenML-CC18,No,,No,,No,,No,,No,,,No
543,2025-02-09 15:27:20,999,Substrat: A subset-based optimization strategy for faster automl,2022.0,Yes,Yes,No,,Yes,,Yes,OpenML-CC18,No,,No,,No,,No,,No,,,No
544,2025-02-09 15:29:38,1002,Workflow recommendation for text classification problems,2017.0,"Thesis Porto, can obtain",,,,,,,,,,,,,,,,,,,
545,2025-02-09 15:31:44,1192,Personalized One-Shot Collaborative Learning,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
546,2025-02-09 15:33:33,1006,Accurately quantifying under score variability,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
547,2025-02-09 15:35:05,1323,Interpretable Anomaly Detection with Mondrian Polya Forests on Data Streams,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
548,2025-02-09 15:36:06,627,Meta-Learning for Algorithm and Hyperparameter Optimization with Surrogate Model Ensembles,2019.0,Yes,Yes,Yes,vanschoren,Yes,,No,,No,,No,,No,,No,,No,,,No
549,2025-02-09 15:37:11,829,CASH via Optimal Diversity for Ensemble Learning,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
550,2025-02-09 15:38:26,428,On Eﬀiciently Explaining Graph-Based Classifiers,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
551,2025-02-09 15:39:45,1542,Games for fairness and interpretability,2020.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
552,2025-02-09 15:41:01,503,Hyperparameter importance and optimization of quantum neural networks across small datasets,2023.0,Yes,Yes,Yes,van Rijn,Yes,,No,,No,,No,,No,,No,,No,,"extension of the ""Hyperparameter Importance Across Datasets"" paper",No
553,2025-02-09 16:01:41,139,Information Leakage Detection through Approximate Bayes-optimal Prediction,2024.0,Yes,Yes,Yes,wever,Yes,,Yes,Benchmark Suite 383 was created for this paper,No,,Yes,Benchmark Suite 383,No,,No,,No,,,No
554,2025-02-09 16:02:41,438,MeanShift++: Extremely fast mode-seeking with applications to segmentation and object tracking,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
555,2025-02-09 16:04:26,1364,MetaPrep: Data preparation pipelines recommendation via meta-learning,2021.0,Yes,Yes,No,,Yes,,No,"However, it describes the inclusion criteria of the datasets from OpenML",No,,No,,No,,No,,No,,,No
556,2025-02-09 16:06:14,576,Mind the Gap: Measuring Generalization Performance Across Multiple Objectives,2023.0,Yes,Yes,Yes,"Feurer, Bergman, Bischl",Yes,,No,,No,,No,,No,,No,,No,,,No
557,2025-02-09 16:07:20,306,Metalearning: Advanced Topics,2022.0,"This is not a paper, but a presentation (slides) of a tutorial",,,,,,,,,,,,,,,,,,,
558,2025-02-09 16:08:42,14,MSBoost: Using Model Selection with Multiple Base Estimators for Gradient Boosting,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
559,2025-02-09 16:09:47,1021,Active learning via adaptive weighted uncertainty sampling applied to additive manufacturing,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
560,2025-02-09 16:11:00,648,Structural and microstructural neuroimaging for diagnosis and tracking of neurodegenerative diseases,2019.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,Yes
561,2025-02-09 16:12:45,1184,The impact of Auto-Sklearn's Learning Settings,2021.0,Yes,Yes,No,,Yes,,Unclear,"It seems like the OpenML-100, but not stated explicitly and impossible to confirm",No,,No,,No,,No,,No,,,No
562,2025-02-09 16:13:57,294,Automated machine learning in research–a literature review,2025.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
563,2025-02-09 16:25:39,514,A study of Spectral Clustering techniques for machine learning applications,2020.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
564,2025-02-09 16:27:04,322,Efficient Optimization Algorithms for Linear Adversarial Training,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
565,2025-02-09 16:28:16,369,Biquality learning: from weakly supervised learning to distribution shifts,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
566,2025-02-09 16:30:01,977,To split or not to split: The impact of disparate treatment in classification,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
567,2025-02-09 16:31:04,464,OpenFE: Automated Feature Generation with Expert-level Performance,2023.0,Yes,Yes,No,,Yes,,Yes,OpenML-CC18,No,,No,,No,,No,,No,,,No
568,2025-02-09 16:32:09,539,Equitable data valuation meets the right to be forgotten in model markets,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
569,2025-02-09 16:33:06,1638,列名と値の結合特徴量に基づいた列構成の異なるテーブルデータを処理可能な深層学習方式,2024.0,Yes,No,,,,,,,,,,,,,,,,,,
570,2025-02-09 16:33:52,35,Batch active learning using determinantal point processes,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
571,2025-02-09 16:36:34,574,Online streaming feature selection with incremental feature grouping,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
572,2025-02-09 16:47:30,1296,Rard II: The 94 million related-article recommendation dataset,2018.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
573,2025-02-09 16:49:48,1636,On benchmark experiments and visualization methods for the evaluation and interpretation of machine learning models,2019.0,"Composite PhD Thesis (of Core member). While this thesis does many cool things, it has an integral copy of all papers in it. Therefore, excluding it and referring to the individual papers",,,,,,,,,,,,,,,,,,,
574,2025-02-09 16:50:55,889,Dimension reduction methods for quantifying local variable importance and the statistical analysis of network data,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,Yes
575,2025-02-09 16:52:23,1227,Imbalanced data learning using SMOTE and deep learning architecture with optimized features,2025.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
576,2025-02-09 16:53:31,1423,FDR2-BD: A Fast Data Reduction Recommendation Tool for Tabular Big Data Classification Problems,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
577,2025-02-09 16:56:58,545,Active dataset generation for meta-learning system quality improvement,2019.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,Yes,generates new datasets based on OpenML data (interesting because it's kind of out of the box),,No
578,2025-02-09 16:58:13,1462,Impact of feature selection on average ranking method via metalearning,2017.0,Paywall (also from Uni IP),,,,,,,,,,,,,,,,,,,
579,2025-02-09 16:59:21,594,Rigorous probabilistic guarantees for robust counterfactual explanations,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
580,2025-02-09 17:00:23,1121,Balancing Selection and Diversity in Ensemble Learning with Exponential Mixture Model,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
581,2025-02-09 17:02:21,976,Multiclass imbalanced handling using ADASYN oversampling and stacking algorithm,2022.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
582,2025-02-09 17:06:52,597,A Stopping Criterion for Transductive Active Learning,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
583,2025-02-09 17:10:01,600,Improving on coalitional prediction explanation,2020.0,Yes,Yes,No,,Yes,,Unclear,Study ID = 107. Not explicitly mentioned. website frontend crashes,No,,No,,No,,No,,No,,,No
584,2025-02-09 17:12:57,1479,A Data-driven Exploratory Service Composition Tool for Data Scientists,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,Yes,meta-features,No,,,No
585,2025-02-09 17:17:34,1337,Frugal Learning: Applying Machine Learning with Minimal Resources,2016.0,Yes,Yes,No,Supervisor: Vanschoren (but officially no author),Yes,,No,,Yes,Analyses OpenML results of various Weka (?) algorithms based on so-called frugility score,No,,No,,Yes,meta-features,Yes,"goes beyond simple benchmark, it uses OpenML data",,Yes
586,2025-02-09 17:18:52,187,Ohodin–online anomaly detection for data streams,2021.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
587,2025-02-09 17:22:22,869,Toward Theoretical Guidance for Two Common Questions in Practical Cross-Validation based Hyperparameter Selection,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
588,2025-02-09 17:24:15,822,Improving local attributive explanations to support predictive analysis using machine learning: application to the healthcare field and medical decision support tools,2024.0,Yes,Yes,No,,Yes,,Unclear,"Used an OpenML study (107), frontend crashes",No,,No,,No,,No,,No,,,Yes
589,2025-02-09 17:25:40,1243,An adaptive multi-class imbalanced classification framework based on ensemble methods and deep network,2023.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
590,2025-02-09 17:26:38,826,Genetic programming representations for multi-dimensional feature learning in biomedical classification,2017.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
591,2025-02-09 17:28:05,693,MLOps approach for system performance optimization for machine learning systems,2024.0,Yes,Yes,No,,Yes,,Yes,"OpenML-CC18, OpenML-CTR23",No,,No,,No,,No,,No,,,Yes
592,2025-02-09 17:29:25,651,Multi-Objective Optimization of Performance and Interpretability of Tabular Supervised Machine Learning Models,2023.0,Yes,Yes,Yes,Bischl,Yes,,Yes,"OpenML-CC18, AutoML Benchmark",No,,No,,No,,No,,No,,,No
593,2025-02-09 17:30:37,722,Towards Total Dynamicity of a Feature Selection Method based on the Pareto Front,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
594,2025-02-09 17:33:04,287,Algorithm selection as recommendation: From collaborative filtering to dyad ranking,2019.0,Yes,Yes,Yes,Wever,Unclear,"Does not explicitly state, but I think the answer is yes",No,,No,,No,,No,,Yes,meta-features,No,,,No
595,2025-02-09 17:34:05,959,"Taranjeet Singh2 Akash Jain3 Shiv Baran Singh4 Stefan Lee1 Dhruv Batra1 1Georgia Institute of Technology 2Paytm 3 Zomato 4Cyware {deshraj, rishabhjain&nbsp;…",9999.0,"invalid resource, no title given, link is death",,,,,,,,,,,,,,,,,,,
596,2025-02-09 17:35:35,1481,Towards efficient Bayesian optimization for big data,2015.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
597,2025-02-09 17:36:42,530,Attention-Based Imputation of Missing Values in Electronic Health Records Tabular Data,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
598,2025-02-09 17:37:42,1271,Прозрачное уменьшение размерности с помощью генетического алгоритма,2023.0,Yes,No,,,,,,,,,,,,,,,,,,
599,2025-02-09 17:39:18,1348,First Investigations on Noisy Model-Based Multi-objective Optimization,2017.0,Yes,Yes,Yes,Bischl,Yes,,No,,No,,No,,No,,No,,No,,,No
600,2025-02-09 17:40:20,717,Randomly pivoted Cholesky: Practical approximation of a kernel matrix with few entry evaluations,2024.0,Yes,Yes,No,,Yes,,No,,No,,No,,No,,No,,No,,,No
601,2025-02-09 17:42:58,823,Comprehensive algorithm portfolio evaluation using item response theory,2023.0,Yes,Yes,No,,Yes,,No,,Yes,The paper uses algorithms uploaded from OpenML (and presumably also the run results),No,,No,,No,,Yes,IRT analysis of portfolios using OpenML data,,No
602,2025-02-14 15:46:09,177,"Plaster: An Integration, Benchmark and Development Framework for Heterogeneous Metadata Normalization Methods",2018.0,Yes,Yes,No,,No,,No,,No,,No,,No,,No,,No,,,No
603,2025-02-14 15:48:01,1404,On the predictive power of meta-features in OpenML,2017.0,Yes,Yes,No,,Yes,,No,,Yes,,No,,No,,No,,No,,,No
604,2025-02-14 15:48:48,46,Probabilistic matrix factorization for automated machine learning,2018.0,Yes,Yes,No,,Yes,,No,,Yes,,No,,No,,No,,No,,,No
